------------------------------
2015-01-13 18:14:28.258316
------------------------------
Bolivie
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 10:40:29.170810
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 10:46:16.270975
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 10:46:58.327680
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 10:46:58.327863
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 10:48:04.633887
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 10:48:04.634181
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 10:53:04.472146
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 10:53:04.472296
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 10:53:52.158941
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 10:53:52.159109
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 10:56:54.641748
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 10:56:54.641830
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 10:57:17.937918
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 10:57:17.938072
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 11:00:54.922809
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 11:00:54.922974
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 11:26:35.329921
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 11:26:35.330061
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 11:27:15.570624
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 11:27:15.570705
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 11:28:05.188956
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 11:28:05.189040
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 11:28:42.419613
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 11:28:42.419798
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 11:29:05.441911
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 11:29:05.441992
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 11:30:10.457072
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 11:33:02.670444
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
