 2205 
 biota 31 
 boundaries 21 
 climatologyMeteorologyAtmosphere 2 
 economy 10 
 elevation 11 
 environment 63 
 farming 14 
 geoscientificInformation 88 
 health 17 
 imageryBaseMapsEarthCover 250 
 inlandWaters 17 
 intelligenceMilitary 1 
 location 30 
 oceans 2 
 planningCadastre 56 
 society 68 
 structure 13 
 transportation 26 
 utilitiesCommunication 17 
